,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,class_weights,first_games,form_length,dummy,home_rel,minmax,cv_acc_mean,cv_acc_ci,cv_prec_mean,cv_prec_ci,away_precision,away_recall,away_support,draw_precision,draw_recall,draw_support,home_precision,home_recall,home_support,ovr_acc,confidence_factor,sure_away_precision,sure_away_recall,sure_away_support,sure_draw_precision,sure_draw_recall,sure_draw_support,sure_home_precision,sure_home_recall,sure_home_support,sure_ovr_acc,train_time
1291,50,300.0,20,10,sqrt,entropy,False,300,5,False,False,False,0.44331682653056104,0.016583889687040762,0.33947331676102255,0.02303178399252824,0.419740777666999,0.2642812303829253,1593,0.0,0.0,1033,0.45081050866405814,0.823799795709908,1958,0.443717277486911,0.55,0.0,0.0,13.0,0.0,0.0,15.0,0.5333333333333333,1.0,32.0,0.5333333333333333,3.1725223064422607
1292,50,300.0,20,10,sqrt,entropy,False,300,5,False,False,False,0.44331682653056104,0.016583889687040762,0.33947331676102255,0.02303178399252824,0.419740777666999,0.2642812303829253,1593,0.0,0.0,1033,0.45081050866405814,0.823799795709908,1958,0.443717277486911,0.6,0.0,0.0,2.0,0.0,0.0,2.0,0.5555555555555556,1.0,5.0,0.5555555555555556,3.1725223064422607
1293,50,300.0,20,10,sqrt,entropy,False,300,10,False,False,False,0.44902720998441364,0.02004912264080747,0.39045937106318596,0.1092821362344861,0.43310208126858274,0.27432517263025735,1593,0.25,0.000968054211035818,1033,0.4539344721366564,0.8278855975485189,1958,0.4491710296684119,0.5,0.5806451612903226,0.1267605633802817,142.0,0.0,0.0,108.0,0.5419222903885481,0.9814814814814815,270.0,0.5442307692307692,3.1788721084594727
1294,50,300.0,20,10,sqrt,entropy,False,300,10,False,False,False,0.44902720998441364,0.02004912264080747,0.39045937106318596,0.1092821362344861,0.43310208126858274,0.27432517263025735,1593,0.25,0.000968054211035818,1033,0.4539344721366564,0.8278855975485189,1958,0.4491710296684119,0.55,1.0,0.05263157894736842,19.0,0.0,0.0,13.0,0.5694444444444444,1.0,41.0,0.5753424657534246,3.1788721084594727
1295,50,300.0,20,10,sqrt,entropy,False,300,10,False,False,False,0.44902720998441364,0.02004912264080747,0.39045937106318596,0.1092821362344861,0.43310208126858274,0.27432517263025735,1593,0.25,0.000968054211035818,1033,0.4539344721366564,0.8278855975485189,1958,0.4491710296684119,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0,3.0,0.75,3.1788721084594727
1296,50,,1,2,sqrt,entropy,False,0,1,False,False,False,0.4218017163774285,0.007959030719973764,0.3875552716455069,0.017000452500138298,0.37256857855361597,0.35827338129496406,2085,0.2956521739130435,0.049239681390296886,1381,0.45466354897375943,0.6684491978609626,2618,0.42159763313609466,0.5,0.41721854304635764,0.20388349514563106,309.0,0.6666666666666666,0.008968609865470852,223.0,0.4721189591078067,0.8881118881118881,429.0,0.46409989594172735,3.9105772972106934
1297,50,,1,2,sqrt,entropy,False,0,1,False,False,False,0.4218017163774285,0.007959030719973764,0.3875552716455069,0.017000452500138298,0.37256857855361597,0.35827338129496406,2085,0.2956521739130435,0.049239681390296886,1381,0.45466354897375943,0.6684491978609626,2618,0.42159763313609466,0.55,0.3888888888888889,0.19090909090909092,110.0,0.0,0.0,88.0,0.48923076923076925,0.8784530386740331,181.0,0.47493403693931396,3.9105772972106934
1298,50,,1,2,sqrt,entropy,False,0,1,False,False,False,0.4218017163774285,0.007959030719973764,0.3875552716455069,0.017000452500138298,0.37256857855361597,0.35827338129496406,2085,0.2956521739130435,0.049239681390296886,1381,0.45466354897375943,0.6684491978609626,2618,0.42159763313609466,0.6,0.42857142857142855,0.12,25.0,0.0,0.0,15.0,0.4426229508196721,0.9642857142857143,28.0,0.4411764705882353,3.9105772972106934
1299,50,,1,2,sqrt,entropy,False,0,3,False,False,False,0.42225719677744145,0.006427377886687484,0.3750173551437718,0.013311546898909227,0.37938144329896906,0.35299760191846524,2085,0.20361990950226244,0.03258508327299059,1381,0.45577364262044356,0.6829640947288006,2618,0.4222550953320184,0.5,0.40298507462686567,0.17142857142857143,315.0,0.0,0.0,226.0,0.48928974069898534,0.9041666666666667,480.0,0.4779627815866797,4.2693798542022705
1300,50,,1,2,sqrt,entropy,False,0,3,False,False,False,0.42225719677744145,0.006427377886687484,0.3750173551437718,0.013311546898909227,0.37938144329896906,0.35299760191846524,2085,0.20361990950226244,0.03258508327299059,1381,0.45577364262044356,0.6829640947288006,2618,0.4222550953320184,0.55,0.3170731707317073,0.0962962962962963,135.0,0.0,0.0,108.0,0.4831730769230769,0.9392523364485982,214.0,0.4682713347921225,4.2693798542022705
1301,50,,1,2,sqrt,entropy,False,0,3,False,False,False,0.42225719677744145,0.006427377886687484,0.3750173551437718,0.013311546898909227,0.37938144329896906,0.35299760191846524,2085,0.20361990950226244,0.03258508327299059,1381,0.45577364262044356,0.6829640947288006,2618,0.4222550953320184,0.6,0.6,0.15789473684210525,38.0,0.0,0.0,24.0,0.4444444444444444,0.9361702127659575,47.0,0.45871559633027525,4.2693798542022705
1302,50,,1,2,sqrt,entropy,False,0,5,False,False,False,0.41485681099730326,0.014478759664930254,0.36897510031017555,0.03188470217434146,0.37613293051359514,0.35827338129496406,2085,0.23381294964028776,0.04706734250543085,1381,0.4481675392670157,0.6539343009931246,2618,0.4148586456278764,0.5,0.43103448275862066,0.23961661341853036,313.0,1.0,0.004273504273504274,234.0,0.49942062572421786,0.8778004073319755,491.0,0.4884393063583815,4.217938423156738
1303,50,,1,2,sqrt,entropy,False,0,5,False,False,False,0.41485681099730326,0.014478759664930254,0.36897510031017555,0.03188470217434146,0.37613293051359514,0.35827338129496406,2085,0.23381294964028776,0.04706734250543085,1381,0.4481675392670157,0.6539343009931246,2618,0.4148586456278764,0.55,0.56,0.208955223880597,134.0,0.0,0.0,102.0,0.4910025706940874,0.9408866995073891,203.0,0.4988610478359909,4.217938423156738
1304,50,,1,2,sqrt,entropy,False,0,5,False,False,False,0.41485681099730326,0.014478759664930254,0.36897510031017555,0.03188470217434146,0.37613293051359514,0.35827338129496406,2085,0.23381294964028776,0.04706734250543085,1381,0.4481675392670157,0.6539343009931246,2618,0.4148586456278764,0.6,0.75,0.21428571428571427,28.0,0.0,0.0,15.0,0.5662650602409639,0.9791666666666666,48.0,0.5824175824175825,4.217938423156738
1305,50,,1,2,sqrt,entropy,False,0,10,False,False,False,0.41991047263641795,0.012044396059141762,0.3807485535831697,0.015863867510805662,0.37861811391223155,0.388968824940048,2085,0.25120772946859904,0.03765387400434468,1381,0.4532797858099063,0.6466768525592055,2618,0.42011834319526625,0.5,0.45714285714285713,0.2476780185758514,323.0,0.0,0.0,240.0,0.4661117717003567,0.8634361233480177,454.0,0.464110127826942,4.212411880493164
1306,50,,1,2,sqrt,entropy,False,0,10,False,False,False,0.41991047263641795,0.012044396059141762,0.3807485535831697,0.015863867510805662,0.37861811391223155,0.388968824940048,2085,0.25120772946859904,0.03765387400434468,1381,0.4532797858099063,0.6466768525592055,2618,0.42011834319526625,0.55,0.4576271186440678,0.1875,144.0,0.0,0.0,101.0,0.4731457800511509,0.8980582524271845,206.0,0.4700665188470067,4.212411880493164
1307,50,,1,2,sqrt,entropy,False,0,10,False,False,False,0.41991047263641795,0.012044396059141762,0.3807485535831697,0.015863867510805662,0.37861811391223155,0.388968824940048,2085,0.25120772946859904,0.03765387400434468,1381,0.4532797858099063,0.6466768525592055,2618,0.42011834319526625,0.6,0.35714285714285715,0.17857142857142858,28.0,0.0,0.0,25.0,0.43902439024390244,0.8372093023255814,43.0,0.4270833333333333,4.212411880493164
1308,50,,1,2,sqrt,entropy,False,100,1,False,False,False,0.42764221468626584,0.013356973370757091,0.3778195990202886,0.021998466490065264,0.392684238838085,0.38040646169880143,1919,0.21839080459770116,0.02980392156862745,1275,0.45620951844550833,0.6778242677824268,2390,0.4276504297994269,0.5,0.45454545454545453,0.2222222222222222,315.0,0.0,0.0,225.0,0.48201438848920863,0.8973214285714286,448.0,0.4777327935222672,4.017208814620972
1309,50,,1,2,sqrt,entropy,False,100,1,False,False,False,0.42764221468626584,0.013356973370757091,0.3778195990202886,0.021998466490065264,0.392684238838085,0.38040646169880143,1919,0.21839080459770116,0.02980392156862745,1275,0.45620951844550833,0.6778242677824268,2390,0.4276504297994269,0.55,0.46153846153846156,0.140625,128.0,0.0,0.0,84.0,0.5093833780160858,0.95,200.0,0.5048543689320388,4.017208814620972
1310,50,,1,2,sqrt,entropy,False,100,1,False,False,False,0.42764221468626584,0.013356973370757091,0.3778195990202886,0.021998466490065264,0.392684238838085,0.38040646169880143,1919,0.21839080459770116,0.02980392156862745,1275,0.45620951844550833,0.6778242677824268,2390,0.4276504297994269,0.6,0.5,0.1111111111111111,18.0,0.0,0.0,23.0,0.5125,0.9534883720930233,43.0,0.5119047619047619,4.017208814620972
1311,50,,1,2,sqrt,entropy,False,100,3,False,False,False,0.41773261573893905,0.016554175594189004,0.3707597601046813,0.03924895508062432,0.37007481296758105,0.3866597186034393,1919,0.20224719101123595,0.02823529411764706,1275,0.45663040282269923,0.6497907949790795,2390,0.4174426934097421,0.5,0.39080459770114945,0.24199288256227758,281.0,1.0,0.0045871559633027525,218.0,0.4980694980694981,0.8543046357615894,453.0,0.4789915966386555,4.28153133392334
1312,50,,1,2,sqrt,entropy,False,100,3,False,False,False,0.41773261573893905,0.016554175594189004,0.3707597601046813,0.03924895508062432,0.37007481296758105,0.3866597186034393,1919,0.20224719101123595,0.02823529411764706,1275,0.45663040282269923,0.6497907949790795,2390,0.4174426934097421,0.55,0.4262295081967213,0.20967741935483872,124.0,0.0,0.0,93.0,0.4942857142857143,0.8917525773195877,194.0,0.48418491484184917,4.28153133392334
1313,50,,1,2,sqrt,entropy,False,100,3,False,False,False,0.41773261573893905,0.016554175594189004,0.3707597601046813,0.03924895508062432,0.37007481296758105,0.3866597186034393,1919,0.20224719101123595,0.02823529411764706,1275,0.45663040282269923,0.6497907949790795,2390,0.4174426934097421,0.6,0.6,0.23076923076923078,26.0,0.0,0.0,13.0,0.5230769230769231,0.9444444444444444,36.0,0.5333333333333333,4.28153133392334
