,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
21,False,False,,80,8,10,,160,entropy,93.43841079696467,0.327600542049475,73.87718050261714,1.8706371566937272,147.38
22,False,False,,160,8,10,,160,entropy,93.66502377868832,0.12331695121021888,74.06255640375,2.468461482686939,265.06
23,False,False,,320,8,10,,160,entropy,93.83497555825082,0.32756273326962193,74.33038529733403,2.7871924552868794,503.55
24,False,False,,80,32,10,,160,entropy,92.03748654317997,0.38097262763702455,73.95961226071537,2.7043009904507023,147.94
25,False,False,,160,32,10,,160,entropy,92.20745556232467,0.3888362513420715,73.95959102636245,2.1142724096767203,262.46
26,False,False,,320,32,10,,160,entropy,92.14048906838093,0.4662368486976008,74.28919065263783,2.817964317078955,502.76
27,False,False,,80,2,20,,160,entropy,75.4326074231519,1.1106164428615721,59.208871712656745,3.088217058746927,102.59
28,False,False,,160,2,20,,160,entropy,75.44806735000834,0.8278960207023076,59.31198573051482,2.8356105444378694,181.19
29,False,False,,320,2,20,,160,entropy,75.63863899598796,0.7199126228191498,59.5179164852899,3.00582645871264,337.23
30,False,False,,80,8,20,,160,entropy,75.63348038254898,0.8141861188408791,59.37371399450031,3.578784509749375,102.46
31,False,False,,160,8,20,,160,entropy,75.61291090875673,0.6904021583285012,59.49721299117713,2.8813519934289014,181.6
32,False,False,,320,8,20,,160,entropy,75.5974324161964,0.6771795335047242,59.49719175682419,2.71391933541028,334.0
33,False,False,,80,32,20,,160,entropy,75.62834563930073,0.37968091613070193,59.620839393971565,2.749604369811484,101.88
34,False,False,,160,32,20,,160,entropy,75.45838059852116,0.47899134067023796,59.476700606240776,2.8692284264655883,181.27
35,False,False,,320,32,20,,160,entropy,75.41716738812109,0.6557998571042573,59.68265259536878,2.656492218997881,342.57
36,False,False,,80,2,1,,320,entropy,100.0,0.0,79.95453725036364,1.0848399770407733,207.16
37,False,False,,160,2,1,,320,entropy,100.0,0.0,80.59322411797807,1.1019922748422133,388.42
38,False,False,,320,2,1,,320,entropy,100.0,0.0,80.26368819476149,0.8611150263400532,731.27
39,False,False,,80,8,1,,320,entropy,100.0,0.0,79.87212672661833,1.0736599610392865,203.98
40,False,False,,160,8,1,,320,entropy,100.0,0.0,80.13995562020236,1.0913974521933842,383.12
41,False,False,,320,8,1,,320,entropy,100.0,0.0,80.18134137407499,1.0704319002892142,729.13
42,False,False,,80,32,1,,320,entropy,99.09868414247532,0.1691772510116491,79.56325182880865,1.2283135874975781,201.14
43,False,False,,160,32,1,,320,entropy,99.20169329828482,0.1516356591333699,79.9545160160107,1.5691603864082981,374.08
44,False,False,,320,32,1,,320,entropy,99.24289855195467,0.1816781353957588,79.97526197882935,1.1247775627231904,715.07
45,False,False,,80,2,5,,320,entropy,98.8772204913387,0.21515704844796196,79.04810642657692,1.4456206742750506,190.45
46,False,False,,160,2,5,,320,entropy,98.95448166809136,0.22891334603780994,78.90392517014025,1.8969147103169846,347.87
47,False,False,,320,2,5,,320,entropy,99.01114154413082,0.24503029103252938,78.862751759797,1.6119382709590384,661.5
48,False,False,,80,8,5,,320,entropy,98.9441816807956,0.20832200504003187,78.86277299414994,1.6088555131033888,186.49
49,False,False,,160,8,5,,320,entropy,98.99053493893078,0.24902132466301033,79.19228768301357,1.577336665376086,344.56
50,False,False,,320,8,5,,320,entropy,98.9956869217612,0.22483428844706832,78.90392517014025,1.797322008189081,658.22
51,False,False,,80,32,5,,320,entropy,96.17841164037807,0.1289800371925861,78.40956819943304,1.5464107018845874,185.8
52,False,False,,160,32,5,,320,entropy,96.18873019337772,0.31926617619130515,78.80108719887032,1.9211509041817278,338.9
53,False,False,,320,32,5,,320,entropy,96.2247755074869,0.22409311366263918,78.96571713718453,1.952412038986904,653.5
54,False,False,,80,2,10,,320,entropy,93.80923023143741,0.35288120376254334,73.65063119114102,2.913126550149709,148.55
55,False,False,,160,2,10,,320,entropy,93.86588745523343,0.34605164798894095,73.93882382919085,2.889885040826309,270.06
56,False,False,,320,2,10,,320,entropy,93.90708740441647,0.35216531841847054,74.08319619480396,2.053957720522431,508.34
57,False,False,,80,8,10,,320,entropy,93.74742235093264,0.3087994521067761,73.75349039676388,2.380021440966843,147.49
58,False,False,,160,8,10,,320,entropy,93.6701664786668,0.3521200032559055,73.89773535625935,2.2903186563615434,271.57
59,False,False,,320,8,10,,320,entropy,94.01009921246937,0.36064165608194104,74.26867826770149,2.2676886455277288,514.92
60,False,False,,80,32,10,,320,entropy,92.16109169521586,0.49347982867421,73.83596462356802,2.0290540584147942,142.59
61,False,False,,160,32,10,,320,entropy,92.40831260826124,0.48017510823983306,74.0008706084704,2.322974623866604,267.28
62,False,False,,320,32,10,,320,entropy,92.33106734496907,0.4701733612899069,74.22727127947594,2.7358969311270953,506.11
63,False,False,,80,2,20,,320,entropy,75.3296353987502,0.4964334147369721,59.414951107902354,3.0559890261751956,102.64
64,False,False,,160,2,20,,320,entropy,75.56652847594401,0.850860119462012,59.53855627634387,3.281102374277553,180.58
65,False,False,,320,2,20,,320,entropy,75.48412592533457,0.9204045637011931,59.84745240850648,2.685631916570707,335.24
66,False,False,,80,8,20,,320,entropy,75.58198575055704,0.620849616429549,59.023325936700395,3.546624520706242,102.77
67,False,False,,160,8,20,,320,entropy,75.66440951911378,0.8299562296769207,59.66201280431481,2.4428383657871864,183.03
68,False,False,,320,8,20,,320,entropy,75.66953497951009,0.750353938710596,59.60028454032935,3.207334133260213,339.01
69,False,False,,80,32,20,,320,entropy,75.33477279424187,0.5463598415216775,58.92014821578349,3.001600113322795,102.72
70,False,False,,160,32,20,,320,entropy,75.49442989099543,0.37290338021579544,59.765190525231716,2.811244690648831,180.02
71,False,False,,320,32,20,,320,entropy,75.75193487787612,0.7497808494386844,60.0946627453895,3.153771720971202,335.08
72,False,False,,80,2,1,,640,entropy,100.0,0.0,80.22228120653594,1.855506113945063,204.89
73,False,False,,160,2,1,,640,entropy,100.0,0.0,79.89278775202523,1.0932971970944874,384.53
74,False,False,,320,2,1,,640,entropy,100.0,0.0,80.4903012092964,1.2322937600369526,742.78
75,False,False,,80,8,1,,640,entropy,100.0,0.0,80.24317580982513,1.2680849228855202,203.62
76,False,False,,160,8,1,,640,entropy,100.0,0.0,80.1607440517269,1.4582940499187147,380.76
77,False,False,,320,8,1,,640,entropy,100.0,0.0,80.51079235987983,1.3214548612760677,731.39
78,False,False,,80,32,1,,640,entropy,99.0729348372968,0.10834197418896449,79.87197808614778,1.8006040582135885,198.72
79,False,False,,160,32,1,,640,entropy,99.20169462440654,0.12582013303396827,80.07831229362864,1.4894489339452581,379.13
80,False,False,,320,32,1,,640,entropy,99.19139463711078,0.1654746361961098,80.03705394587364,1.296707534759208,727.82
81,False,False,,80,2,5,,640,entropy,98.89782709653875,0.19619921293763332,78.6566935989043,1.9165128747835272,188.1
82,False,False,,160,2,5,,640,entropy,99.02143490081804,0.18906848964346099,78.61545648550225,1.6017688103926742,351.03
83,False,False,,320,2,5,,640,entropy,98.99568824788291,0.24547206786090614,78.61552018856106,1.4499508321546912,653.28
84,False,False,,80,8,5,,640,entropy,98.91326978381299,0.14189192531679393,78.75985008546827,1.6910146671358726,187.49
85,False,False,,160,8,5,,640,entropy,98.95448034196967,0.1951753327276997,79.46018027965643,1.6603020518831362,349.09
86,False,False,,320,8,5,,640,entropy,99.0111388918874,0.22437041362443202,78.84223937486065,1.2335616021977964,662.58
87,False,False,,80,32,5,,640,entropy,96.11147299499018,0.29860864675738436,78.69780330618875,1.7515510168141089,179.44
88,False,False,,160,32,5,,640,entropy,96.12176767779911,0.3077215847591542,78.24453480841305,1.2550423070616614,342.24
89,False,False,,320,32,5,,640,entropy,96.27113274398717,0.2577144777785088,78.84219690615478,1.8542576193586997,656.11
90,False,False,,80,2,10,,640,entropy,93.71651045395002,0.4977247185937077,74.04208648751951,2.9498026875843912,148.88
91,False,False,,160,2,10,,640,entropy,93.92768207452116,0.4957387200616859,73.73287184006284,2.295776622415226,265.64
92,False,False,,320,2,10,,640,entropy,93.96890058940805,0.5020375209969062,74.1655642498434,2.5127723255956584,515.97
