,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
461,False,False,std,500,2,1,log2,,entropy,100.0,0.0,71.1167570896196,1.330601339426455,57.9
462,False,False,std,50,8,1,log2,,entropy,99.86093624722939,0.04850517977152077,68.97416840965313,1.631472150131195,38.57
463,False,False,std,200,8,1,log2,,entropy,99.98454935599551,0.01751298034002223,70.51939227281898,1.2699480474423317,44.66
464,False,False,std,500,8,1,log2,,entropy,100.0,0.0,71.0756261479822,1.2607985435707854,57.67
465,False,False,std,50,32,1,log2,,entropy,96.67282429179133,0.39287157457206257,68.68569972501514,1.6068550920636708,38.17
466,False,False,std,200,32,1,log2,,entropy,97.87289680412626,0.2332930438456192,70.49892235658848,1.9929712372914143,43.61
467,False,False,std,500,32,1,log2,,entropy,97.99650328228384,0.3703747315983407,71.44659029377728,1.727063261251581,56.48
468,False,False,std,50,2,4,log2,,entropy,91.48642992918775,0.6232464714181636,68.27356216887681,1.3269407260740391,37.68
469,False,False,std,200,2,4,log2,,entropy,93.04181818712267,0.32731761219376904,68.68591206854448,1.7807455318289092,43.89
470,False,False,std,500,2,4,log2,,entropy,93.33024833220304,0.3404686530027003,69.2421247093548,1.2027018676621661,54.86
471,False,False,std,50,8,4,log2,,entropy,91.61516717222845,0.24801694297312057,67.38804718273222,1.7806250193039461,37.94
472,False,False,std,200,8,4,log2,,entropy,92.68645337501952,0.34102891007233266,68.47974773588712,0.5989692537467327,43.27
473,False,False,std,500,8,4,log2,,entropy,93.19118590555414,0.3454567396347484,69.07747353668766,1.5546185325507236,55.37
474,False,False,std,50,32,4,log2,,entropy,90.97135895382789,0.4150383263380828,67.22331107265333,1.9841608277960587,37.54
475,False,False,std,200,32,4,log2,,entropy,92.62979880346691,0.6831731021720472,68.54173081210783,1.7811620155330739,43.58
476,False,False,std,500,32,4,log2,,entropy,92.7070440667591,0.5452460654130727,69.18046014842812,1.9558801346305748,54.91
